,,,,,,
1,30.000,392,3.762,2.026,13.132,1.180
300.000,353.820,8.572,,,,
,30.000,423,3.903,1.948,17.191,1.573
300.000,353.820,22.021,,,,
3,30.000,457,3.969,1.864,21.227,1.671
300.000,353.820,40.752,,,,
4,30.000,493,3.980,1.766,22.595,1.671
300.000,353.820,61.248,,,,
5,30.000,526,3.912,1.561,25.286,1.770
300.000,353.820,85.709,,,,
6,30.000,540,3.773,1.439,26.127,1.917
300.000,353.820,112.701,,,,
7,30.000,540,3.534,1.286,26.127,1.917
300.000,353.820,139.521,,,,
8,30.000,540,3.203,1.098,26.666,1.917
300.000,353.820,168.228,,,,
6,30.000,540,2.716,,28.593,
300.000,,201.659,,,,
10,30.000,540,1.960,,29.131,
,300.000,,235.173,,,
,,,,,,
11,30.000,540,1.084,,29.131,
300.000,,267.949,,,,
12,30.000,540,33,,29.131,
300.000,,308.772,,,,
13,,,,,,
,,,,,,
,,,,,,
14,,,,,,
,,,,,,
,,,,,,
15,,,,,,
,,,,,,
16,,,,,,
,,,,,,
17,,,,,,
,,,,,,
18,,,,,,
,,,,,,
19,,,,,,
,,,,,,
20,,,,,,
,,,,,,
