BH Hồ tro,BH Chăm,,,,,,
1,70.000.000,412.200,4.091.500,18.380.000,24.072.200,,9.621.000
2,70.000.000,445.000,4.216.300,18.285.900,28.700.900,,9.621.000
3,70.000.000,480.200,4.296.100,18.793.000,32.430.800,,10.329.800
4,70.000.000,516.000,4.325.400,19.090.000,33.580.700,,10.896.800
5,70.000.000,540.000,4.285.100,18.782.900,36.506.800,,10.896.800
6,70.000.000,540.000,4.152.400,18.394.400,37.705.800,,10.896.800
7,70.000.000,540.000,3.900.200,17.890.600,37.705.800,,10.896.800
8,70.000.000,540.000,3.559.500,18.813.500,36.796.500,,12.421.800
6,70.000.000,540.000,3.097.600,19.355.200,35.600.900,,13.641.800
10,70.000.000,540.000,2.399.900,18.578.600,36.186.100,,13.641.800
11,70.000.000,540.000,1.613.300,17.682.400,36.186.100,,13.641.800
12,70.000.000,540.000,660.700,16.565.900,36.186.100,,13.641.800
13,70.000.000,540.000,,17.337.600,34.368.200,,15.496.800
14,70.000.000,540.000,,18.584.400,32.913.900,,16.980.800
15,70.000.000,540.000,,18.584.400,32.913.900,,16.980.800
91,,540.000,,18.584.400,,,16.980.800
17,,540.000,,7.779.600,,,7.547.000
18,,540.000,,,,,
19,,540.000,,,,,
20,,540.000,,,,,
21,,540.000,,,,,
22,,540.000,,,,,
23,,540.000,,,,,
24,,540.000,,,,,
25,,540.000,,,,,
